time_s,D1_m,D2_m,D3_m
2.029999999999999805e+00,3.102009676890896822e-03,1.559706109653193756e-03,1.139965790804749971e-03
2.040000000000000036e+00,2.981184034452358939e-03,1.590588938714079109e-03,7.595434090146189424e-04
2.049999999999999822e+00,2.838646637805554689e-03,1.560367511760616310e-03,3.184931513644460302e-04
2.060000000000000053e+00,2.665874064586080342e-03,1.461721081118382438e-03,-1.463535511771496837e-04
2.069999999999999840e+00,2.457385827718191595e-03,1.292745396572144790e-03,-5.946737805600127739e-04
2.080000000000000071e+00,2.213381669469143258e-03,1.059509444096659115e-03,-9.842728667551871660e-04
2.089999999999999858e+00,1.939414397233707715e-03,7.754016398374219757e-04,-1.275609508686662919e-03
2.100000000000000089e+00,1.644058699676309836e-03,4.582722193562253693e-04,-1.437762777001368392e-03
2.109999999999999876e+00,1.336433881511430626e-03,1.273213079861495870e-04,-1.453438578937038322e-03
2.120000000000000107e+00,1.025635393738257494e-03,-1.981367197252215204e-04,-1.320603380649288403e-03
2.129999999999999893e+00,7.220928643310982548e-04,-4.979928514368042519e-04,-1.050692724475099909e-03
2.140000000000000124e+00,4.385308618721397013e-04,-7.510769305417778997e-04,-6.659192557885328838e-04
2.149999999999999911e+00,1.886482750678505774e-04,-9.371632341079657322e-04,-1.977903283112108612e-04
2.160000000000000142e+00,-1.607393452714857800e-05,-1.040753738315675905e-03,3.134330829215701154e-04
2.169999999999999929e+00,-1.696527702424524011e-04,-1.054741328753673905e-03,8.199968963539937695e-04
2.180000000000000160e+00,-2.731140386530893837e-04,-9.820095049181208190e-04,1.270239549649864082e-03
2.189999999999999947e+00,-3.331598796484190736e-04,-8.338840267115053091e-04,1.615087803905394803e-03
2.200000000000000178e+00,-3.590583849077786001e-04,-6.265729133949364451e-04,1.815708944148699405e-03
2.209999999999999964e+00,-3.603577225588736879e-04,-3.782980313422961652e-04,1.849050093151866298e-03
2.220000000000000195e+00,-3.465486186262017139e-04,-1.083121915406164593e-04,1.709731857740379515e-03
2.229999999999999982e+00,-3.274892352093152219e-04,1.633542392201192401e-04,1.409383548320047950e-03
2.240000000000000213e+00,-3.136093070010691642e-04,4.163826503756704999e-04,9.745257975180770344e-04
2.250000000000000000e+00,-3.159736872869524935e-04,6.307898477752450599e-04,4.431933029965054189e-04
2.259999999999999787e+00,-3.457297044493474027e-04,7.881303029245298117e-04,-1.388584188870635493e-04
2.270000000000000018e+00,-4.124372430007345876e-04,8.737246518253268803e-04,-7.214790063089891606e-04
2.279999999999999805e+00,-5.225103771493790116e-04,8.786198308969575457e-04,-1.253830974654711588e-03
2.290000000000000036e+00,-6.791071197061528423e-04,7.999036196877574089e-04,-1.689369939956581780e-03
2.299999999999999822e+00,-8.826250892239471870e-04,6.402132692595739923e-04,-1.990753694767999262e-03
2.310000000000000053e+00,-1.130631929772160085e-03,4.076194072357892679e-04,-2.133079911949973401e-03
2.319999999999999840e+00,-1.417885578897306849e-03,1.152410095505628992e-04,-2.105824177844572900e-03
2.330000000000000071e+00,-1.737096719300266091e-03,-2.200337862424673848e-04,-1.913966993848670913e-03
2.339999999999999858e+00,-2.079831632198953645e-03,-5.790737295503041102e-04,-1.577664611234276624e-03
2.350000000000000089e+00,-2.437619967042182687e-03,-9.422868607661131959e-04,-1.130625408557724663e-03
2.359999999999999876e+00,-2.803704352079614340e-03,-1.292028594805848425e-03,-6.178349000414332494e-04
2.370000000000000107e+00,-3.173593988113331335e-03,-1.613737249560011832e-03,-9.113362727850943213e-05
2.379999999999999893e+00,-3.542341901069068384e-03,-1.893719409097867866e-03,3.988301056172090719e-04
2.390000000000000124e+00,-3.901120190660254186e-03,-2.116226107819519503e-03,8.108996433297227351e-04
2.399999999999999911e+00,-4.237595146341113089e-03,-2.264355946527031246e-03,1.116833927043040875e-03
2.410000000000000142e+00,-4.539012071495994276e-03,-2.323636580297053049e-03,1.300729718477467442e-03
2.419999999999999929e+00,-4.793319511739294048e-03,-2.283534277095393330e-03,1.359105667560746907e-03
2.430000000000000160e+00,-4.989047058985811821e-03,-2.137571279825672618e-03,1.300934919744743375e-03
2.439999999999999947e+00,-5.118684488550860438e-03,-1.886748231692036374e-03,1.143075527187667776e-03
2.450000000000000178e+00,-5.184158469100470616e-03,-1.544748373787092942e-03,9.030360946310872191e-04
2.459999999999999964e+00,-5.196967665524168146e-03,-1.137408677973710718e-03,5.969932379446377156e-04
2.470000000000000195e+00,-5.171146245747703166e-03,-6.947373372640157189e-04,2.448429592083485444e-04
2.479999999999999982e+00,-5.116263854504557625e-03,-2.429231514883653140e-04,-1.253186907773092907e-04
2.490000000000000213e+00,-5.036118552818513207e-03,1.978306609436983668e-04,-4.790911683974528401e-04
2.500000000000000000e+00,-4.930105749137034254e-03,6.126182294970005000e-04,-7.807315816193186823e-04
2.509999999999999787e+00,-4.792404622426732659e-03,9.931321250956995101e-04,-9.959304949451639691e-04
2.520000000000000018e+00,-4.610357555065979981e-03,1.339533430132359808e-03,-1.093513538340531608e-03
2.529999999999999805e+00,-4.366518742489708393e-03,1.658410065475826286e-03,-1.050225956107876365e-03
2.540000000000000036e+00,-4.044722814653096445e-03,1.956582875413503952e-03,-8.583810605643672894e-04
2.549999999999999822e+00,-3.636180848246961094e-03,2.234934396004082443e-03,-5.317374520933036653e-04
2.560000000000000053e+00,-3.142337728292168581e-03,2.485670566453745175e-03,-1.060006785527499332e-04
2.569999999999999840e+00,-2.574322901248748789e-03,2.693224545903843102e-03,3.660480686857672003e-04
2.580000000000000071e+00,-1.950294551683365209e-03,2.837448381978203635e-03,8.228763312585611091e-04
2.589999999999999858e+00,-1.291930608736704652e-03,2.897728839591567299e-03,1.203843238176102986e-03
2.600000000000000089e+00,-6.212139134302060561e-04,2.856755542034015213e-03,1.458080592378857175e-03
2.609999999999999876e+00,4.200406097681720955e-05,2.703349564783584340e-03,1.551317986639121072e-03
2.620000000000000107e+00,6.823683698922125996e-04,2.434973869505845361e-03,1.470749950430215143e-03
2.629999999999999893e+00,1.291464198076599373e-03,2.060001748646390646e-03,1.227702578552038529e-03
2.640000000000000124e+00,1.868375291709437882e-03,1.597743047724520726e-03,8.560570046783506091e-04
2.649999999999999911e+00,2.416560781757058716e-03,1.074485131547227128e-03,4.050225598076095013e-04
2.660000000000000142e+00,2.938573094558508906e-03,5.172227439146584059e-04,-7.138209374609854599e-05
