T_s,Sd_m,Sa_pseudo_m_per_s2,Sa_pseudo_g,Sa_actual_m_per_s2,Sa_actual_g
1.800000000000000488e+00,3.094063715637471734e-01,3.770022822852650446e+00,3.844353395759663727e-01,3.789383743588141229e+00,3.864096040531824205e-01
1.810000000000000275e+00,3.220373109390196054e-01,3.880688454392392739e+00,3.957200934460180508e-01,3.900620365731077843e+00,3.977525827607876208e-01
1.820000000000000284e+00,3.341080948295215847e-01,3.982024783442851934e+00,4.060535232156600172e-01,4.003081797759536542e+00,4.082007411052231416e-01
1.830000000000000293e+00,3.456651652866590818e-01,4.074864506693527844e+00,4.155205403163698130e-01,4.096293305259880668e+00,4.177056696486446397e-01
1.840000000000000302e+00,3.565833135422030731e-01,4.158005955447959145e+00,4.239986086429065604e-01,4.179755022262221509e+00,4.262163962476708812e-01
1.850000000000000311e+00,3.668326558118188419e-01,4.231401834055366962e+00,4.314829053810799175e-01,4.253875275628435482e+00,4.337745586544269338e-01
1.860000000000000320e+00,3.765189105638288014e-01,4.296557633014375988e+00,4.381269478378830851e-01,4.319380002489689119e+00,4.404541818551380161e-01
1.870000000000000329e+00,3.854481826414120627e-01,4.351535451159110224e+00,4.437331250895168444e-01,4.374704750617359750e+00,4.460957361196086213e-01
1.880000000000000338e+00,3.936519612787477973e-01,4.396999920251453808e+00,4.483692107143065209e-01,4.420769568276239347e+00,4.507930402610718090e-01
1.890000000000000346e+00,4.010906885872187466e-01,4.432805828858513486e+00,4.520203972670089887e-01,4.456961329991807830e+00,4.544835728808316877e-01
1.900000000000000355e+00,4.076056169732040213e-01,4.457513785249281213e+00,4.545399076391307136e-01,4.482043476273490867e+00,4.570412400028033284e-01
1.910000000000000364e+00,4.133196193203171886e-01,4.472795300458188628e+00,4.560981885208699182e-01,4.497657590957601315e+00,4.586334365922717371e-01
1.920000000000000373e+00,4.179643313305237973e-01,4.476066193574334662e+00,4.564317267950150914e-01,4.501300108161962577e+00,4.590048699772055762e-01
